COUNTY	GLOBAL_ID	FIELD_PT_NAME	LOGDATE	LOGTIME	LOGCODE	SAMPID	MATRIX	LABWO 	LABCODE	LABSAMPID	ANMCODE	LABLOTCTL	ANADATE	BASIS	PARLABEL	PARVAL	PARVQ	LABDL	REPDL	UNITS	DILFAC	LNOTE
Alpine	T0600300005	K1	2012-10-08	1110	CLSR	K1-15	SO	CVJ0496	CLSR	CVJ049604	M8015	CV07186	2012-10-12	W	PHCD	0	ND	.033	1	MG/KG	1	
Alpine	T0600300005	KMPUD#2	2008-12-30	1330	CLSR	KMPUD #2	W	CSA0056	CLSR	CSA005601	M8015	CS00063	2009-01-07	N	MOIL	79	=	9.1	50	UG/L	1	DU,DU
Alpine	T0600300005	KMPUD#2	2002-04-16	1203	KFR	KMPUD #2	WX	NA	ALPS	041625-22	SW8260B	MS1W0418A	2002-04-18	N	MTBE	0	ND	.25	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2002-04-16	1203	KFR	KMPUD #2	WX	NA	ALPS	041625-22	SW8260B	MS1W0418A	2002-04-18	N	BZME	0	ND	.25	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2002-10-31	1805	KFR	KMPUD WELL #2	WX	NA	ALPS	110129-17	SW8260B	MS8W1104A	2002-11-04	N	DCE11	0	ND	.5	1	UG/L	1	
Alpine	T0600300005	KMPUD#2	2002-10-31	1805	KFR	KMPUD WELL #2	WX	NA	ALPS	110129-17	SW8260B	MS8W1104A	2002-11-04	N	BZME	0	ND	.25	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2002-10-31	1805	KFR	KMPUD WELL #2	WX	NA	ALPS	110129-17	SW8260B	MS8W1104A	2002-11-04	N	EBZ	0	ND	.25	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2004-11-24	1200	GECR	KMPUD well #2	W	NA	KIFF	41181-06	SW8260B	V823223	2004-12-01	N	PHCG	0	ND	50	50	UG/L	1	
Alpine	T0600300005	KMPUD#2	2004-11-24	1200	GECR	KMPUD well #2	W	NA	KIFF	41181-06	SW8260B	V823223	2004-12-01	N	BZ	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2004-11-24	1200	GECR	KMPUD well #2	W	NA	KIFF	41181-06	SW8260B	V823223	2004-12-01	N	DIPE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2005-03-31	1200	GECR	KMPUD well #2	W	NA	KIFF	43100-01	SW8260B	V826567	2005-04-06	N	BZME	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2005-03-31	1200	GECR	KMPUD well #2	W	NA	KIFF	43100-01	SW8260B	V826567	2005-04-06	N	ETBE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2004-11-24	1200	GECR	KMPUD well #2	W	NA	KIFF	41181-06	CATPH-D	S112404W11	2004-11-30	N	PHCLUB	0	ND	100	100	UG/L	1	
Alpine	T0600300005	KMPUD#2	2005-06-14	1200	GECR	KMPUD Well #2	W	NA	KIFF	44341-11	SW8260B	VJ31240	2005-06-18	N	BZ	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2005-09-21	1200	GECR	KMPUD Well #2	W	NA	KIFF	46105-09	SW8260B	VN25756	2005-09-27	N	TBA	0	ND	5	5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2005-09-21	1200	GECR	KMPUD Well #2	W	NA	KIFF	46105-09	SW8260B	VN25756	2005-09-27	N	PHCG	0	ND	50	50	UG/L	1	
Alpine	T0600300005	KMPUD#2	2005-09-21	1200	GECR	KMPUD Well #2	W	NA	KIFF	46105-09	SW8260B	VN25756	2005-09-27	N	MTBE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2005-11-18	1200	GECR	KMPUD Well #2	W	NA	KIFF	47013-11	SW8260B	VJ34935	2005-11-22	N	XYLENES	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2006-06-13	1200	GECR	KMPUD Well #2	W	NA	KIFF	50553-06	SW8260B	VN32421	2006-06-16	N	TAME	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2006-06-13	1200	GECR	KMPUD Well #2	W	NA	KIFF	50553-06	SW8260B	VN32421	2006-06-16	N	DIPE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2006-09-26	1200	GECR	KMPUD Well #2	W	NA	KIFF	52437-09	CATPH-D	S092706W13	2006-09-30	N	PHCLUB	0	ND	100	100	UG/L	1	
Alpine	T0600300005	KMPUD#2	2006-09-26	1200	GECR	KMPUD Well #2	W	NA	KIFF	52437-09	SW8260B	V634551	2006-10-03	N	EBZ	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2006-11-21	1200	GECR	KMPUD Well #2	W	NA	KIFF	53493-06	SW8260B	V463373	2006-11-28	N	EBZ	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2006-11-21	1200	GECR	KMPUD Well #2	W	NA	KIFF	53493-06	SW8260B	V463373	2006-11-28	N	XYLO	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2007-06-19	1200	GECR	KMPUD Well#2	W	NA	KIFF	57083-10	SW8260B	VJ49078	2007-06-22	N	DIPE	0	ND	.5	.5	UG/L	1	
