COUNTY	GLOBAL_ID	FIELD_PT_NAME	FIELD_PT_CLASS	XY_SURVEY_DATE	LATITUDE	LONGITUDE	XY_METHOD	XY_DATUM	XY_ACC_VAL	XY_SURVEY_ORG	GPS_EQUIP_TYPE	XY_SURVEY_DESC
Los Angeles	T0603701211	GMX-RPZ7	PZ	2001-01-25	34.0266412	-118.421377	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	GMX-RPZ8	PZ	2001-07-11	34.015028	-118.4168287	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	GMX-RPZ9	PZ	2001-07-11	34.0150553	-118.4168504	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	KMX-MW1	MW	1999-08-27	34.015603	-118.4265889	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	KMX-MW2	MW	1999-08-27	34.0178696	-118.4250694	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	KMX-MW3	MW	1999-08-27	34.0172775	-118.4245813	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	KMX-MW4	MW	1999-08-27	34.0165593	-118.4246107	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	GMX-RMW1	MW	1998-08-14	34.0190016	-118.4224397	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	GMX-RMW10	MW	1999-06-07	34.0146338	-118.423569	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	GMX-RMW11	MW	1999-06-07	34.0139182	-118.4203945	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	GMX-RMW12	MW	1999-06-07	34.0138766	-118.4203567	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	GMX-RMW13	MW	1998-08-14	34.0152448	-118.4228042	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	GMX-RMW14	MW	1998-08-14	34.0158645	-118.4232904	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	GMX-RMW15	MW	1998-08-14	34.0158881	-118.4233084	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	GMX-RMW16A	MW	1998-08-14	34.0157963	-118.4232356	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	GMX-RMW17	MW	1999-08-27	34.0164792	-118.4237745	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	GMX-RMW18	MW	1999-08-27	34.0165114	-118.4238006	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	GMX-RMW19	MW	2000-12-27	34.0128756	-118.4195602	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	GMX-RMW20	MW	2000-12-27	34.0129005	-118.4195792	CGPS	NAD83	3	Calvada Survey	L530	
Los Angeles	T0603701211	GMX-RMW21	MW	2000-12-27	34.0141816	-118.4219694	CGPS	NAD83	3	Calvada Survey	L530	
