"","time","precipIntensity","temperature","pressure"
"25",2000-01-06 00:00:00,0,47.24,1023.9
"26",2000-01-06 01:00:00,0,48.32,1023.5
"27",2000-01-06 02:00:00,0,48.31,1023.7
"28",2000-01-06 03:00:00,0,49.16,1024
"29",2000-01-06 04:00:00,0,49.13,1023.5
"30",2000-01-06 05:00:00,0,50.33,1023.6
"31",2000-01-06 06:00:00,0,50.13,1024.2
"32",2000-01-06 07:00:00,0,50.14,1024.9
"33",2000-01-06 08:00:00,0,50.16,1025.3
"34",2000-01-06 09:00:00,0,51.23,1025.8
"35",2000-01-06 10:00:00,0,52.11,1026.4
"36",2000-01-06 11:00:00,0,54.02,1026.5
"37",2000-01-06 12:00:00,0,57.05,1025.8
"38",2000-01-06 13:00:00,0,55.97,1025.2
"39",2000-01-06 14:00:00,0,57.01,1024.2
"40",2000-01-06 15:00:00,0,60.85,1023.9
"41",2000-01-06 16:00:00,0,58.94,1024.4
"42",2000-01-06 17:00:00,0,57.93,1024.8
"43",2000-01-06 18:00:00,0,57.87,1025.1
"44",2000-01-06 19:00:00,0,57.87,1025.5
"45",2000-01-06 20:00:00,0,57.01,1026
"46",2000-01-06 21:00:00,0,57,1026.8
"47",2000-01-06 22:00:00,0,57.02,1027.2
"48",2000-01-06 23:00:00,0,57.06,1027.5
"49",2000-01-07 00:00:00,0,57.07,1027.5
"50",2000-01-07 01:00:00,0,56.01,1027.2
"51",2000-01-07 02:00:00,0,55.95,1026.8
"52",2000-01-07 03:00:00,0,53.12,1027.5
"53",2000-01-07 04:00:00,0,53.06,1027.4
"54",2000-01-07 05:00:00,0,50.17,1027.4
"55",2000-01-07 06:00:00,0,52.97,1027.9
"56",2000-01-07 07:00:00,0,52.98,1028.5
"57",2000-01-07 08:00:00,0,54.95,1028.7
"58",2000-01-07 09:00:00,0,57.04,1029.1
"59",2000-01-07 10:00:00,0,60.01,1029.4
"60",2000-01-07 11:00:00,0,62.78,1028.8
"61",2000-01-07 12:00:00,0,65.75,1027.9
"62",2000-01-07 13:00:00,0,65.78,1026.8
"63",2000-01-07 14:00:00,0,67.69,1025.6
"64",2000-01-07 15:00:00,0,67.69,1025
"65",2000-01-07 16:00:00,0,62.82,1025
"66",2000-01-07 17:00:00,0,60.92,1024.9
"67",2000-01-07 18:00:00,0,59.02,1024.6
"68",2000-01-07 19:00:00,0,59.01,1024.8
"69",2000-01-07 20:00:00,4e-04,57.96,1024.9
"70",2000-01-07 21:00:00,0,58.99,1025.1
"71",2000-01-07 22:00:00,0,59,1024.1
"72",2000-01-07 23:00:00,0,59.02,1023.6
"73",2000-01-08 00:00:00,0,58.98,1022.7
"74",2000-01-08 01:00:00,0,57.96,1022.4
"75",2000-01-08 02:00:00,0,57.97,1022.1
"76",2000-01-08 03:00:00,0,57.96,1021.4
"77",2000-01-08 04:00:00,0,57.96,1021
"78",2000-01-08 05:00:00,0,58.02,1020.7
"79",2000-01-08 06:00:00,0,57.07,1020.6
"80",2000-01-08 07:00:00,0,56.02,1020.7
"81",2000-01-08 08:00:00,0,57.06,1020.2
"82",2000-01-08 09:00:00,0.118,52.17,1020.8
"83",2000-01-08 10:00:00,0.1614,53.2,1020.6
"84",2000-01-08 11:00:00,0.0788,55.14,1019.8
"85",2000-01-08 12:00:00,0.0118,59.04,1018.8
"86",2000-01-08 13:00:00,4e-04,60.92,1017.6
"87",2000-01-08 14:00:00,0.0197,64.76,1016.1
"88",2000-01-08 15:00:00,0,66.71,1015
"89",2000-01-08 16:00:00,0,66.71,1014.8
"90",2000-01-08 17:00:00,0,65.78,1014.9
"91",2000-01-08 18:00:00,0,63.92,1014.9
"92",2000-01-08 19:00:00,0,63.91,1015.3
"93",2000-01-08 20:00:00,0,62.83,1015.4
"94",2000-01-08 21:00:00,0,61.96,1015.6
"95",2000-01-08 22:00:00,0,59.04,1016
